DTRH real Scale X value,DTRH real Scale Y value,,
68.2,3.2049
68.4,3.1388
68.6,3.0797
68.8,3.0206
69,2.9614
69.2,2.9091
69.4,2.8568
69.6,2.8045
69.8,2.7522
70,2.6998
70.2,2.6128
70.4,2.5258
70.6,2.4388
70.8,2.3167
71,2.1946
71.2,2.0856
71.4,1.9767
71.6,1.8678
71.8,1.7279
72,1.5879
72.2,1.3964
72.4,1.2049
72.6,1.0133
72.8,0.86958
73,0.72584
73.2,0.58209
73.4,0
73.6,0
73.8,0
74,0
74.2,0
74.4,0
74.6,0
74.8,0
75,0
75.2,0
75.4,0
75.6,0.30089
75.8,0.35104
76,0.43604
76.2,0.52104
76.4,0.64124
76.6,0.76144
76.8,0.88165
77,1.0304
77.2,1.1792
77.4,1.3569
77.6,1.5345
77.8,1.7122
78,1.8898
78.2,2.0675
78.4,2.2451
78.6,2.4419
78.8,2.6387
79,2.8544
79.2,3.0701
79.4,3.2858
79.6,3.4478
79.8,3.6098
80,3.7721
80.2,3.9343
80.4,4.0965
80.6,4.3128
80.8,4.5292
81,4.7455
81.2,4.9078
81.4,5.0702
81.6,5.2326
81.8,5.3949
82,5.5573
82.2,5.7737
82.4,5.9902
82.6,6.1525
82.8,6.3148
83,6.4771
83.2,6.6395
83.4,6.8019
83.6,6.9643
83.8,7.1812
84,7.398
84.2,7.5607
84.4,7.7234
84.6,7.8861
84.8,8.0496
85,8.2131
85.2,8.4315
85.4,8.65
85.6,8.8684
85.8,9.0871
86,9.3058
86.2,9.5244
86.4,9.7433
86.6,9.9622
86.8,10.181
87,10.4
87.2,10.619
87.4,10.838
87.6,11.056
87.8,11.274
88,11.492
88.2,11.71
88.4,11.874
88.6,12.037
88.8,12.208
89,12.324
89.2,12.439
89.4,12.562
89.6,12.685
89.8,12.808
90,12.876
90.2,12.945
90.4,12.925
90.6,12.904
90.8,12.884
91,12.83
91.2,12.776
91.4,12.715
91.6,12.654
91.8,12.593
92,12.473
92.2,12.353
92.4,12.232
92.6,12.06
92.8,11.887
93,11.749
93.2,11.611
93.4,11.472
93.6,11.315
93.8,11.158
94,10.95
94.2,10.741
94.4,10.532
94.6,10.324
94.8,10.116
95,9.9087
95.2,9.7022
95.4,9.4957
95.6,9.2892
95.8,9.0827
96,8.8762
96.2,8.6723
96.4,8.4684
96.6,8.2665
96.8,8.0647
97,7.8628
97.2,7.7123
97.4,7.5618
97.6,7.4112
97.8,7.2598
98,7.1083
98.2,6.9045
98.4,6.7008
98.6,6.497
98.8,6.3431
99,6.1892
99.2,6.0398
99.4,5.8903
99.6,5.7409
99.8,5.5461
100,5.3514
100.2,5.1567
100.4,5.0136
100.6,4.8706
100.8,4.7338
101,4.597
101.2,4.4602
101.4,4.278
101.6,4.0958
101.8,3.959
102,3.8222
102.2,3.6854
102.4,3.55
102.6,3.4145
102.8,3.2791
103,3.098
103.2,2.9169
103.4,2.7819
103.6,2.647
103.8,2.512
104,2.3842
104.2,2.2565
104.4,2.0908
104.6,1.9252
104.8,1.7595
105,1.601
105.2,1.4426
105.4,1.2647
105.6,1.1325
105.8,1.0003
106,0.86804
106.2,0.73581
106.4,0.60358
106.6,0.50152
106.8,0.39946
107,0.32729
107.2,0.25512
107.4,0.18296
107.6,0.14753
107.8,0.1121
108,0.096089
108.2,0
108.4,0
108.6,0
108.8,0
109,0
109.2,0
109.4,0
109.6,0
109.8,0
110,0
110.2,0
110.4,0
110.6,0
110.8,0
111,0
111.2,0
111.4,0
111.6,0
111.8,0
112,0
112.2,0
112.4,0
112.6,0
112.8,0
113,0
113.2,0
113.4,0
113.6,0
113.8,0
114,0
114.2,0
114.4,0
114.6,0
114.8,0
115,0
115.2,0
115.4,0
115.6,0.015186
115.8,0.015186
116,0.015186
116.2,0.015186
116.4,0.015186
116.6,0.015186
116.8,0.015186
117,0
117.2,0
117.4,0
117.6,0
117.8,0
118,0
118.2,0.36445
118.4,0.45556
118.6,0.54668
118.8,0.63779
119,0.75927
119.2,0.88075
119.4,1.0022
119.6,1.0934
119.8,1.1845
120,1.2756
120.2,1.3667
120.4,1.4578
120.6,1.5793
120.8,1.7008
121,1.7919
121.2,1.883
121.4,1.9741
121.6,2.0652
121.8,2.1563
122,2.2773
122.2,2.3983
122.4,2.5193
122.6,2.6099
122.8,2.7005
123,2.7911
123.2,2.8588
123.4,2.9265
123.6,3.0021
123.8,3.0777
124,3.1533
124.2,3.1985
124.4,3.2438
124.6,3.2579
124.8,3.2721
125,3.2863
125.2,3.2997
125.4,3.3132
125.6,3.3266
125.8,3.3325
126,3.3385
126.2,3.325
126.4,3.3116
126.6,3.2981
126.8,3.2727
127,3.2474
127.2,3.1816
127.4,3.1158
127.6,3.05
127.8,2.9423
128,2.8347
128.2,2.7271
128.4,2.6194
128.6,2.5118
128.8,2.3729
129,2.234
129.2,2.0951
129.4,1.9254
129.6,1.7557
129.8,1.6276
130,1.4995
130.2,1.3714
130.4,1.2545
130.6,1.1376
130.8,1.0207
131,0.87248
131.2,0.72423
131.4,0.61876
131.6,0.5133
131.8,0.40783
132,0.36981
132.2,0
132.4,0
132.6,0
132.8,0
133,0
133.2,0.32808
133.4,0.34616
133.6,0.39425
133.8,0.44233
134,0.48917
